vote_id,yes,no,abstain
995b5005-4a1a-446a-b2b3-8cfa44e1a9bd,83,0,1
540593a6-c294-4cda-8e85-f6312f02e5af,83,0,1
fc8631f3-dbab-44fe-8ced-74fcb01f1a46,85,0,1
99df318f-1255-429c-8550-dae493e445ed,0,84,0
32cf0d61-76c0-4f87-9a55-da9116ecbc6e,84,2,0
abb8925e-26f8-4c8e-b920-f42e4eacaf6f,85,0,0
af4230d0-dc54-4bde-9e1c-441184639d7d,0,80,0
3494d34a-73d7-4ea0-a9df-8ff1f151a05f,0,79,0
6855af46-9559-40e5-86c9-d296973d79e3,0,79,0
5c261b6b-c104-44cc-b26a-dc0209e4e685,0,72,0
43b1543b-5846-47c9-a7c9-1462b2d00df5,1,78,0
191f9e5b-abad-4680-9f61-54ca8f0377c3,0,80,0
9830ebcf-d273-4513-a582-2d0c71bee8ac,0,80,0
fbc8b6ca-3633-4f92-9f08-636996f083a1,0,80,0
d25f2198-be9f-44f5-9bef-327c9b38eeb9,74,0,0
79c2acd8-6114-4d99-b887-22495ff56ac0,0,80,0
e3ee82a7-3be9-47de-935d-fcbd6ad45a3a,0,86,0
d6f4729b-1870-47e5-b294-dbe074e12bbf,0,82,0
41b16c78-6569-4d22-9ae5-1523885c7cb4,1,2,82
ac2224e8-457f-45a0-ad79-12ea6a5f1e83,0,86,0
41b7a180-3d06-4a2d-8733-b2c27b3d3243,0,80,0
c533dd88-3f72-433c-982e-e028d9f31366,1,71,0
53e6d367-f402-44fb-9b5e-fc6d1853ffbc,84,0,0
28134c22-27f7-4d53-9a03-eb5d3b9e9fb7,81,0,0
a785f58b-32e7-4495-9bc7-488d0a0a16fe,79,0,0
430576c2-af58-4745-8eb5-3e42d088eab1,0,81,0
0316a4cf-47bc-494d-a599-eb9e57af3b73,0,83,0
c7ed74fd-1e3c-4353-bf03-9a33123c4621,0,80,3
fabecf7c-5dfa-4996-9fcf-49a5401b1b04,0,82,0
39ddd1ba-718a-432c-9b84-f716ac6a071f,1,77,0
17877663-06ad-4f6f-b55a-bb411e10798c,0,80,0
4efea18f-be80-4798-aa71-1972a35f1599,0,83,0
d1f850d9-ca92-41f5-8a80-bfce38362019,0,87,0
2a32c118-6020-4069-bf75-8c37a69d1413,85,0,0
f97d7f79-60c2-44c3-bc8f-edf65de0c75b,1,0,78
912d686a-b31e-4a7f-9905-aaf9bf0af117,0,85,0
3864f929-67ff-4402-85aa-807c33bb4fc7,76,5,0
6334f6df-d681-4cf7-b20f-e5317d6f6c65,0,80,1
2755c70b-8a96-4906-b106-a91cb9764fb9,0,85,0
fc2b4151-1cf1-4a9a-b9e9-21d41c196831,0,80,2
db30693c-b4d4-4ae2-9a5a-9b2dc15a92a3,0,82,0
239d0769-15a5-4f9b-bf35-92e81ffe7574,77,4,2
38072fb7-22d5-40a8-bd2e-e5215321ce0d,75,4,4
8cee3992-3df5-4e6f-8650-37c6d731ffb4,0,81,0
7d0dff30-917a-44a1-b20c-52cdc5a23514,77,0,1
